target,train_size,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std,generalization_gap
L*,6,1.914196917470679,0.405990595103651,6.019624959122521,2.5646028663737472,4.105428041651843
L*,11,1.7462781386335726,0.22512172722003843,4.043622077438544,1.1260147912973575,2.2973439388049712
L*,16,1.604752114123078,0.1672758691209824,3.5434867036298527,1.2098254312181134,1.9387345895067747
L*,21,1.5001232809911773,0.07602027832102347,3.566874311111232,0.6846060670792952,2.066751030120055
L*,26,1.4887711276373956,0.09559129614604857,3.109122634849747,0.6757724234689332,1.6203515072123515
L*,31,1.4061677050721777,0.07832090077144914,3.1494277958274233,0.8564975409472582,1.7432600907552456
a*,6,1.5141239031323757,0.5143166077178154,4.934824582798075,1.7071579363899467,3.420700679665699
a*,11,2.2663172281990454,0.5528903568291874,6.190226427293174,2.5660583122761724,3.923909199094129
a*,16,2.789241944400517,0.21813499487109606,3.807165554080126,1.4217164941373788,1.0179236096796092
a*,21,3.1412549179865956,0.10383422557374618,3.580115928693413,1.0272289003302104,0.4388610107068174
a*,26,3.197729599581475,0.185080185797914,3.5508979191457732,0.9413215278891334,0.3531683195642983
a*,31,3.0717591412658627,0.16665320038667084,3.570502214777605,0.9612616154154165,0.4987430735117422
b*,6,2.3365739521640507,0.7568131889845402,5.48905117791697,1.7360678316127713,3.152477225752919
b*,11,3.1594086432998822,0.5958287868563027,5.876693770815499,2.1039317448542976,2.7172851275156167
b*,16,3.2747861865493606,0.41859775607826355,5.057537304111961,1.0149203204246617,1.7827511175626007
b*,21,2.9558785352286017,0.3583894052577836,4.123956862882522,1.1313439522351516,1.16807832765392
b*,26,2.82594302266989,0.30702274901730137,3.9241862638941307,1.3945118970408463,1.0982432412242407
b*,31,2.675675324023675,0.28406285948862925,3.934148335217082,1.4980948578520525,1.258473011193407
