Model,Target,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,MAPE_mean,MAPE_std
LR,L*,5.1868,2.1298,3.5022,1.2189,-0.1697,0.4722,0.1624,0.0729
LR,a*,4.6418,1.8340,3.6635,1.5506,0.3576,0.9755,0.1314,0.0679
LR,b*,5.1545,1.8387,4.0769,1.5502,0.3035,1.4191,0.2123,0.1188
KNN,L*,4.6741,2.0658,3.0049,0.9319,0.0501,0.3111,0.1348,0.0536
KNN,a*,4.2471,1.8019,3.2338,1.4590,0.4622,0.5806,0.1153,0.0801
KNN,b*,4.5235,1.5424,3.4524,1.0496,0.4636,0.6509,0.1862,0.1226
DT,L*,5.2711,2.6536,3.4920,1.4551,-0.2081,0.5856,0.1268,0.0752
DT,a*,4.7529,1.9101,3.5481,1.7399,0.3264,0.5568,0.1029,0.0943
DT,b*,6.0071,1.6037,4.1091,1.1643,0.0540,0.6783,0.1594,0.1263
RF,L*,4.8656,2.3351,3.0191,1.2136,-0.0294,0.4527,0.1355,0.0608
RF,a*,4.1331,1.6789,3.1353,1.3536,0.4906,0.6083,0.1169,0.0823
RF,b*,4.5864,1.6683,3.4567,1.2070,0.4486,0.5761,0.1906,0.1301
SVR,L*,3.1376,0.7809,2.7194,0.7120,0.5720,0.6042,0.1240,0.0404
SVR,a*,3.6258,0.9991,3.0036,0.8878,0.6080,0.2346,0.1102,0.0439
SVR,b*,3.4893,1.1174,2.6521,0.9072,0.6808,0.2609,0.1429,0.0633
MLP,L*,4.0597,1.7215,2.6808,0.8296,0.2834,0.3643,0.1136,0.0363
MLP,a*,4.3552,1.0106,3.5847,0.8659,0.4345,1.0211,0.1295,0.0535
MLP,b*,3.9104,1.2828,2.9813,0.9373,0.5992,0.4099,0.1685,0.0969
